sample_id,language,pass_idx,fragment_count,fragments_sha256,prompt_tokens,n_tokens,first_token_latency_ms,response_chars,sentence_end_found,first_sentence_char_idx,first_sentence_token_idx,decode_to_first_sentence_ms,decode_total_ms,tokens_per_s,first_sentence_text,error
multiwoz_PMUL0271_turn3,en,0,4,44d062e029dcdc9289908a3c0fa90bee7c43c3e78f9113d511c4cee99f520610,5,56,1.560378004796803,95,1,4,2,122.14293100987561,2569.975037011318,21.77687294252141,当然可以。,
multiwoz_PMUL2590_turn4,en,0,2,6fff498f031072e846bb22e21214a7c17ed2066ca0ba640958ac2fa0aaab238f,5,128,1.551564026158303,241,1,13,7,309.3609119823668,5724.510545987869,22.353931469962074,你好，我可以帮助你查找酒店。,
crosswoz_7701_turn3,zh,0,8,6eb4c17381187088a2bd1fed78268db83b9eeddae84adb13eb2b3dda1f157fcb,5,128,1.5676570183131844,215,1,2,1,61.77513700095005,6102.456141990842,20.969774072764558,你好！,
multiwoz_MUL2016_turn3,en,0,4,5e101008ee8482f2ad940a85707fc385c34301d5a5ade8c18af1129b9e314704,5,128,1.5467839839402586,235,1,19,11,656.051396013936,5611.718702013604,22.80312597351751,当然，我可以帮助您寻找符合您需求的酒店。,
crosswoz_8672_turn3,zh,0,4,bc50531e5e0e4717be0f177edfd680033e9eee0d29b6315c34e3fb363b7e2c2a,5,128,1.5836810052860528,198,1,2,1,44.47148198960349,4961.577736976324,25.79001350555596,你好！,
multiwoz_MUL1031_turn3,en,0,4,dfd3348976c42f3e178adecc4fa2387bf1b7af6862e65bcf2516050e54daf77b,5,128,1.5339959936682135,247,1,53,24,966.3462860044092,4527.664035995258,28.26107383602099,您好，关于您询问的Leverton House Hotel的信息，我需要确认几个关键点以确保提供准确的信息。,
crosswoz_12315_turn3,zh,0,3,c6899ff92155e20530af149b7a5d6f662cf4b89fe2389b05165e5686246ff362,5,128,1.6460659971926361,218,1,2,1,35.004522011149675,4532.627194013912,28.22944111658734,你好！,
multiwoz_PMUL2936_turn4,en,0,4,07393d8aa1a60965d5139e343cfc467de6f6595efccdb132fef1297dae444a29,5,128,1.3618759985547513,209,1,26,15,647.6011810009368,4712.578181992285,27.153506074609645,当然可以，探索东海岸的建筑重要教堂是一个非常棒的主意。,
crosswoz_8907_turn3,zh,0,4,4832049d57284d01af01e1b264e44e8b4d916ca8983d36dcc62498f56ab77962,5,128,1.5884230087976903,235,1,2,1,46.98108398588374,4583.224644011352,27.918259289727647,你好！,
crosswoz_11592_turn2,zh,0,7,e1537755c7fbf2469b1a1e71c0d084e21411365ec2e3501ddcf00fa19ae006dc,5,128,1.5519619919359684,212,1,2,1,38.93265899387188,4623.711213993374,27.674100938641708,您好！,
crosswoz_9577_turn3,zh,0,7,d4a256733a44a516f1c7cbb862adcd242d85ed10a896f74b37f8922445ade118,5,128,1.653012994211167,208,1,2,1,37.36689200741239,4627.682759019081,27.64975501967812,你好！,
crosswoz_10574_turn4,zh,0,4,449e60ed546a679949ebf9502d3e2be9d4fdf9bb42250fcaa1f0c1b257c8ab96,5,128,1.557644980493933,221,1,2,1,47.93996599619277,4642.25295901997,27.563570290686044,你好！,
crosswoz_11730_turn3,zh,0,7,5f8e49fc1cef53c31bdcabe2511c156bbb9acd7af4cddbcfc79185c1bc0ca509,5,128,1.5364800055976957,201,1,2,1,47.89980698842555,4615.585128980456,27.722899858405405,你好！,
crosswoz_7196_turn3,zh,0,6,a53d26e3ad395a6d695cc129429dca5f8561af0f818de230a06bc4ded8fd235c,5,128,1.5273930039256811,187,1,2,1,47.89282599813305,4819.956142979208,26.547845501229094,你好！,
multiwoz_PMUL4031_turn4,en,0,6,ad17ca714de4390f112c871e38b9d0206737fd6e9a9e9157ad271fc28ea0f039,5,128,1.566510007251054,245,1,37,21,928.8118749973364,4699.67703698785,27.22683875457035,"好的，根据您的需求，这里有五个位于市中心的中等价位英国餐厅供您选择：

1.",
