dataset,sample_id,duration_group,error_rate,metric,hypothesis,reference
librispeech,librispeech_1089-134686,long,0.0556,WER,"He hoped there would be stew for dinner, turnips and carrots and bruised potatoes, and fat mutton pieces to be ladled out in thick, peppered, flour-fattened sauce. Stuff it into you, his belly counseled him. After early nightfall the yellow lamps would light up here and there the squalid quarter of the brothels.",HE HOPED THERE WOULD BE STEW FOR DINNER TURNIPS AND CARROTS AND BRUISED POTATOES AND FAT MUTTON PIECES TO BE LADLED OUT 
librispeech,librispeech_1089-134691,long,0.0,WER,"He could wait no longer. For a full hour he had paced up and down, waiting, but he could wait no longer. He set off abruptly for the bull, walking rapidly lest his father's shrill whistle might call him back, and in a few moments he had rounded the curve at the police barrack and was safe.",HE COULD WAIT NO LONGER FOR A FULL HOUR HE HAD PACED UP AND DOWN WAITING BUT HE COULD WAIT NO LONGER HE SET OFF ABRUPTLY
librispeech,librispeech_1188-133604,long,0.0,WER,"You will find me continually speaking of four men, Titian, Holbein, Turner, and Tintoret, in almost the same terms. They unite every quality, and sometimes you will find me referring to them as colorists, sometimes as chiaroscurists.",YOU WILL FIND ME CONTINUALLY SPEAKING OF FOUR MEN TITIAN HOLBEIN TURNER AND TINTORET IN ALMOST THE SAME TERMS THEY UNITE
librispeech,librispeech_121-121726,long,0.08,WER,also a popular contrivance whereby love-making may be suspended but not stopped during the picnic season harangue the tiresome product of a tireless tongue,ALSO A POPULAR CONTRIVANCE WHEREBY LOVE MAKING MAY BE SUSPENDED BUT NOT STOPPED DURING THE PICNIC SEASON HARANGUE THE TI
librispeech,librispeech_121-123852,long,0.069,WER,those pretty wrongs that liberty commits when i am some time absent from thy heart thy beauty and thy years full well befits for still temptation follows where thou art,THOSE PRETTY WRONGS THAT LIBERTY COMMITS WHEN I AM SOMETIME ABSENT FROM THY HEART THY BEAUTY AND THY YEARS FULL WELL BEF
librispeech,librispeech_121-123859,long,0.027,WER,you are my all the world and i must strive to know my shames and praises from your tongue none else to me nor i to none alive that my steeled sense or changes right or wrong,YOU ARE MY ALL THE WORLD AND I MUST STRIVE TO KNOW MY SHAMES AND PRAISES FROM YOUR TONGUE NONE ELSE TO ME NOR I TO NONE 
librispeech,librispeech_121-127105,long,0.0476,WER,it was this observation that drew from douglas not immediately but later in the evening a reply that had the interesting consequence to which i call attention some one else told a story not particularly effective which i saw he was not following,IT WAS THIS OBSERVATION THAT DREW FROM DOUGLAS NOT IMMEDIATELY BUT LATER IN THE EVENING A REPLY THAT HAD THE INTERESTING
librispeech,librispeech_1221-135766,long,0.0471,WER,how strange it seemed to the sad woman as she watched the growth and the beauty that became every day more brilliant and the intelligence that threw its quivering sunshine over the tiny features of this child god as a direct consequence of the sin which man thus punished had given her a lovely child whose place was on that same dishonored bosom to connect her parent forever with the race and descent of mortals and to be finally a blessed soul in heaven You,HOW STRANGE IT SEEMED TO THE SAD WOMAN AS SHE WATCHED THE GROWTH AND THE BEAUTY THAT BECAME EVERY DAY MORE BRILLIANT AND
librispeech,librispeech_1221-135767,long,0.0278,WER,hester prynne went one day to the mansion of governor bellingham with a pair of gloves which he had fringed and embroidered to his order and which were to be worn on some great occasion of state for though the chances of a popular election had caused this former ruler to descend a step or two from the highest rank he still held an honorable and influential place among the colonial magistracy,HESTER PRYNNE WENT ONE DAY TO THE MANSION OF GOVERNOR BELLINGHAM WITH A PAIR OF GLOVES WHICH SHE HAD FRINGED AND EMBROID
librispeech,librispeech_1284-1180,long,0.02,WER,he wore blue silk stockings blue knee pants with gold buckles a blue ruffled waist and a jacket of bright blue braided with gold his hat had a peaked crown at a flat brim and around the brim was a row of tiny golden bells that tinkled when he moved,HE WORE BLUE SILK STOCKINGS BLUE KNEE PANTS WITH GOLD BUCKLES A BLUE RUFFLED WAIST AND A JACKET OF BRIGHT BLUE BRAIDED W
