sample_id,language,text_source,tts_n_chars,tts_n_bytes_utf8,terminal_state,error
crosswoz_10040_turn4,zh,b_first_sentence,3,9,success,
crosswoz_10040_turn4,zh,a_first_sentence,3,9,success,
crosswoz_10040_turn4,zh,a_full_response,187,541,success,
crosswoz_10331_turn4,zh,b_first_sentence,3,9,success,
crosswoz_10331_turn4,zh,a_first_sentence,3,9,success,
crosswoz_10331_turn4,zh,a_full_response,208,570,success,
crosswoz_10382_turn4,zh,b_first_sentence,52,156,success,
crosswoz_10382_turn4,zh,a_first_sentence,31,93,success,
crosswoz_10382_turn4,zh,a_full_response,211,601,success,
crosswoz_10574_turn4,zh,b_first_sentence,3,9,success,
crosswoz_10574_turn4,zh,a_first_sentence,3,9,success,
crosswoz_10574_turn4,zh,a_full_response,206,582,success,
crosswoz_11406_turn5,zh,b_first_sentence,3,9,success,
crosswoz_11406_turn5,zh,a_first_sentence,3,9,success,
crosswoz_11406_turn5,zh,a_full_response,188,526,success,
multiwoz_MUL0023_turn4,en,b_first_sentence,38,92,success,
multiwoz_MUL0023_turn4,en,a_first_sentence,42,106,success,
multiwoz_MUL0023_turn4,en,a_full_response,223,585,success,
multiwoz_MUL0183_turn4,en,b_first_sentence,49,147,success,
multiwoz_MUL0183_turn4,en,a_first_sentence,37,111,success,
multiwoz_MUL0183_turn4,en,a_full_response,242,610,success,
multiwoz_MUL0183_turn5,en,b_first_sentence,35,105,success,
multiwoz_MUL0183_turn5,en,a_first_sentence,73,161,success,
multiwoz_MUL0183_turn5,en,a_full_response,244,638,success,
multiwoz_MUL0666_turn4,en,b_first_sentence,38,104,success,
multiwoz_MUL0666_turn4,en,a_first_sentence,22,66,success,
multiwoz_MUL0666_turn4,en,a_full_response,189,559,success,
multiwoz_MUL1031_turn3,en,b_first_sentence,50,110,success,
multiwoz_MUL1031_turn3,en,a_first_sentence,50,110,success,
multiwoz_MUL1031_turn3,en,a_full_response,246,576,success,
calibration_zh,zh,calibration,14,42,success,
calibration_en,en,calibration,37,37,success,
